text,label
"Congratulations! You've won $1000! Click here to claim your prize now! Limited time offer!",spam
"Hi John, can we schedule a meeting for tomorrow at 2pm? Let me know if that works.",ham
"URGENT: Your account will be suspended unless you verify immediately! Click this link now!",spam
"Thanks for the presentation yesterday. The team found it very helpful and informative.",ham
"Free money! No strings attached! Act now before it's too late! Amazing opportunity!",spam
"Please review the attached document and let me know your thoughts by Friday.",ham
"You are the lucky winner of our lottery! Send your bank details now to claim $50000!",spam
"The quarterly report is ready for your review. I've attached it to this email.",ham
"CLICK HERE FOR AMAZING DEALS! 90% OFF everything! Limited time offer ends soon!",spam
"Could you please send me the updated project timeline when you have a chance?",ham
"Nigerian prince needs your help to transfer millions! You'll get 30% commission!",spam
"Meeting room is booked for 3pm today for the team standup. See you there.",ham
"Make money fast working from home! No experience needed! Start earning today!",spam
"The client approved the proposal. Great work everyone! Let's celebrate tomorrow.",ham
"Your computer is infected with 47 viruses! Download our antivirus software now!",spam
"Don't forget about the company picnic this Saturday at Central Park.",ham
"Get rich quick with this amazing investment opportunity! Guaranteed returns!",spam
"The new employee handbook has been uploaded to the company portal.",ham
"WARNING: Suspicious activity detected on your account! Verify your identity now!",spam
"Please confirm your attendance for the board meeting next Tuesday at 10am.",ham
"You've been selected for a special credit card offer! Apply now, no credit check!",spam
"The server maintenance is scheduled for this weekend. Plan accordingly.",ham
"Lose 30 pounds in 30 days with this miracle pill! Doctors hate this secret!",spam
"Your vacation request for next week has been approved. Enjoy your time off!",ham
"FINAL NOTICE: Your subscription will expire unless you renew immediately!",spam
"The conference call has been moved to 4pm. I'll send the new dial-in details.",ham
"Win a free iPhone! Just click this link and enter your personal information!",spam
"The budget proposal looks good. I've made a few minor suggestions in the margins.",ham
"Hot singles in your area want to meet you! Join our dating site for free!",spam
"Please remember to submit your timesheet by end of day Friday.",ham
"Your PayPal account has been compromised! Click here to secure it immediately!",spam
"The training session has been rescheduled to next Monday at 9am in Conference Room B.",ham
"Earn $5000 per week working part-time from home! No skills required!",spam
"I've reviewed the contract and it looks acceptable. Let's proceed with signing.",ham
"BREAKING: Local mom discovers one weird trick to lose belly fat!",spam
"The IT department will be upgrading the network infrastructure this weekend.",ham
"You've inherited $2.5 million from a distant relative! Contact us immediately!",spam
"The monthly team lunch is scheduled for Friday at 12:30pm at Mario's Restaurant.",ham
"Get a loan of up to $50000 with no credit check! Instant approval guaranteed!",spam
"Please update your emergency contact information in the HR system.",ham
"Congratulations! You've been pre-approved for a platinum credit card!",spam
"The project deadline has been extended by one week due to client feedback.",ham
"ALERT: Your bank account will be closed unless you verify your information!",spam
"The annual performance reviews will begin next month. Please prepare your self-assessment.",ham
"Make thousands of dollars selling products you don't even need to buy!",spam
"The office will be closed on Monday for the holiday. Enjoy the long weekend!",ham
"Your subscription is about to expire! Renew now to avoid service interruption!",spam
"Please join us for the retirement party for Susan next Friday at 5pm.",ham
"Miracle cure for arthritis discovered! Pharmaceutical companies don't want you to know!",spam
"The new parking permits are available at the front desk. Please pick yours up.",ham
"You've won a luxury vacation to the Bahamas! All expenses paid! Click to claim!",spam
"The software update will be deployed tonight. Please save your work before leaving.",ham
